id,width,height,area
gm_04740901,2520,3297,8308440
gm_04741701,4308,2004,8633232
gm_04773001,3307,4228,13981996
gm_04832401,5356,3620,19388720
gm_04846301,3881,5519,21419239
gm_04910901,5814,5604,32581656
gm_05073001,5241,6497,34050777
gm_05138701,1413,3762,5315706
gm_05140701,4072,5398,21980656
gm_05218901,3123,4472,13966056
gm_05343401,1745,2687,4688815
gm_05345701,6301,5231,32960531
gm_05572401,4678,6541,30598798
gm_05592001,7324,4671,34210404
gm_05617601,3768,6523,24578664
gm_05655701,3567,3918,13975506
gm_05984501,2625,4226,11093250
gm_05988201,5492,4554,25010568
gm_05989301,2088,3144,6564672
gm_06011601,4324,5690,24603560
gm_06011801,4360,5712,24904320
gm_06122901,4043,3480,14069640
gm_06123001,4183,3365,14075795
gm_06142501,3223,6578,21200894
gm_06209201,6188,4797,29683836
gm_06304301,3122,4393,13714946
gm_06369801,4619,6073,28051187
gm_06499001,6344,4876,30933344
gm_06521201,3312,4282,14181984
gm_06647801,4077,3425,13963725
gm_06648301,2024,5956,12054944
gm_06654101,3530,3954,13957620
gm_06853701,5824,4540,26440960
gm_06870901,2916,5868,17111088
gm_06871701,2783,5015,13956745
gm_06872501,3411,4098,13978278
gm_06925901,2533,5774,14625542
gm_06976701,7219,8911,64328509
gm_06991401,3418,4095,13996710
gm_07136501,4436,5567,24695212
gm_07138501,4778,6110,29193580
gm_07140401,3803,5076,19304028
gm_09141601,6474,3313,21448362
gm_09197801,6489,2946,19116594
gm_09227601,6512,3365,21912880
gm_09494201,6554,3402,22296708
gm_09517901,4690,5896,27652240
gm_09605201,3258,4857,15824106
gm_09645701,2591,3303,8558073
gm_09880101,6473,3331,21561563
gm_10032801,4932,6124,30203568
gm_10621701,3960,5105,20215800
gm_10643001,6278,4098,25727244
gm_10643401,6278,4098,25727244
gm_10853201,6062,1819,11026778
gm_10867001,3076,4545,13980420
gm_10870601,3206,4331,13885186
gm_10932501,8472,6766,57321552
gm_10941201,11014,1269,13976766
gm_11010801,3003,4656,13981968
gm_11042001,3089,4498,13894322
gm_11058201,4800,6000,28800000
gm_11058501,4256,6120,26046720
gm_11075701,3108,4495,13970460
gm_11156101,2195,5230,11479850
gm_11180401,10170,8103,82407510
gm_11200701,7438,7408,55100704
gm_11225501,4417,1636,7226212
gm_11253501,3105,4505,13988025
gm_11257701,6750,10256,69228000
gm_11311501,3407,4011,13665477
gm_11324001,5148,3392,17462016
gm_11369901,3217,4017,12922689
gm_11370001,7462,8783,65538746
gm_11371301,4973,6943,34527539
gm_11373001,5752,5004,28783008
gm_11638901,8674,6955,60327670
gm_13139301,10251,8004,82049004
gm_13359701,2646,4885,12925710
gm_13370301,6020,2326,14002520
gm_13373701,4748,6073,28834604
gm_13379401,4243,6052,25678636
gm_13468801,3307,6870,22719090
gm_13509301,6356,7758,49309848
gm_13515401,3159,4448,14051232
gm_13547101,11655,6188,72121140
gm_13612501,6947,7346,51032662
gm_13615201,4263,6428,27402564
gm_13829201,5797,9275,53767175
gm_13878501,5128,6269,32147432
gm_13907301,10493,4209,44165037
